filepath,caption_suggested,tags_suggested
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6328.jpg,NUI-6328,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6335.jpg,NUI-6335,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6337.jpg,NUI-6337,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6338.jpg,NUI-6338,night
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6344.jpg,NUI-6344,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6346.jpg,NUI-6346,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6356.jpg,NUI-6356,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6358.jpg,NUI-6358,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6360.jpg,NUI-6360,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6361.jpg,NUI-6361,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6362.jpg,NUI-6362,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6370.jpg,NUI-6370,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6371.jpg,NUI-6371,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6372.jpg,NUI-6372,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6373.jpg,NUI-6373,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6375.jpg,NUI-6375,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6382.jpg,NUI-6382,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6384.jpg,NUI-6384,night
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6387.jpg,NUI-6387,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6390.jpg,NUI-6390,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6392.jpg,NUI-6392,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6398.jpg,NUI-6398,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6399.jpg,NUI-6399,night
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6407.jpg,NUI-6407,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6410.jpg,NUI-6410,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6411.jpg,NUI-6411,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6412.jpg,NUI-6412,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6413.jpg,NUI-6413,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6416.jpg,NUI-6416,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6419.jpg,NUI-6419,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6420.jpg,NUI-6420,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6422.jpg,NUI-6422,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6424.jpg,NUI-6424,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6428.jpg,NUI-6428,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6429.jpg,NUI-6429,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6433.jpg,NUI-6433,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6458.jpg,NUI-6458,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6481.jpg,NUI-6481,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6482.jpg,NUI-6482,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6483.jpg,NUI-6483,night
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6487.jpg,NUI-6487,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6488.jpg,NUI-6488,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6502.jpg,NUI-6502,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6503.jpg,NUI-6503,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6514.jpg,NUI-6514,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6515.jpg,NUI-6515,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6516.jpg,NUI-6516,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6517.jpg,NUI-6517,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6518.jpg,NUI-6518,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6519.jpg,NUI-6519,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6521.jpg,NUI-6521,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6523.jpg,NUI-6523,night
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6529.jpg,NUI-6529,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6530.jpg,NUI-6530,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6538.jpg,NUI-6538,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6539.jpg,NUI-6539,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6542.jpg,NUI-6542,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6544.jpg,NUI-6544,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6545.jpg,NUI-6545,night
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6548.jpg,NUI-6548,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6549.jpg,NUI-6549,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6551.jpg,NUI-6551,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6552.jpg,NUI-6552,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6553.jpg,NUI-6553,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6554.jpg,NUI-6554,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6555.jpg,NUI-6555,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6556.jpg,NUI-6556,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6562.jpg,NUI-6562,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6563.jpg,NUI-6563,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6564.jpg,NUI-6564,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6565.jpg,NUI-6565,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6566.jpg,NUI-6566,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6579(1).jpg,NUI-6579(1),night
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6579.jpg,NUI-6579,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6583.jpg,NUI-6583,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6624.jpg,NUI-6624,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6652.jpg,NUI-6652,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6684.jpg,NUI-6684,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6705.jpg,NUI-6705,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6707.jpg,NUI-6707,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6721.jpg,NUI-6721,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6815.jpg,NUI-6815,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-6904.jpg,NUI-6904,night
