filepath,caption_suggested,tags_suggested
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4815.jpg,NUI-4815,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4822.jpg,NUI-4822,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4823.jpg,NUI-4823,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4825.jpg,NUI-4825,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4829.jpg,NUI-4829,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4830.jpg,NUI-4830,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4831.jpg,NUI-4831,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4835.jpg,NUI-4835,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4836.jpg,NUI-4836,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4837.jpg,NUI-4837,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4838.jpg,NUI-4838,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4848.jpg,NUI-4848,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4857.jpg,NUI-4857,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4859.jpg,NUI-4859,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4861.jpg,NUI-4861,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4862.jpg,NUI-4862,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4865.jpg,NUI-4865,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4870.jpg,NUI-4870,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4872.jpg,NUI-4872,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4873.jpg,NUI-4873,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4875.jpg,NUI-4875,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4876.jpg,NUI-4876,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4878.jpg,NUI-4878,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4881.jpg,NUI-4881,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4882.jpg,NUI-4882,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4883.jpg,NUI-4883,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4885.jpg,NUI-4885,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4887.jpg,NUI-4887,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4888.jpg,NUI-4888,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4889.jpg,NUI-4889,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4892.jpg,NUI-4892,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4893.jpg,NUI-4893,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4895.jpg,NUI-4895,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4898.jpg,NUI-4898,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4904.jpg,NUI-4904,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4907.jpg,NUI-4907,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4914.jpg,NUI-4914,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4916.jpg,NUI-4916,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4918.jpg,NUI-4918,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4923.jpg,NUI-4923,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4928.jpg,NUI-4928,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4932.jpg,NUI-4932,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4933.jpg,NUI-4933,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4935.jpg,NUI-4935,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4944.jpg,NUI-4944,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4946.jpg,NUI-4946,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4947.jpg,NUI-4947,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4948.jpg,NUI-4948,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4952.jpg,NUI-4952,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4953.jpg,NUI-4953,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4954.jpg,NUI-4954,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4957.jpg,NUI-4957,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4958.jpg,NUI-4958,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4959.jpg,NUI-4959,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4962.jpg,NUI-4962,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4964.jpg,NUI-4964,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4968.jpg,NUI-4968,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4969.jpg,NUI-4969,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4974.jpg,NUI-4974,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4978.jpg,NUI-4978,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4981.jpg,NUI-4981,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4982.jpg,NUI-4982,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4983.jpg,NUI-4983,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4984.jpg,NUI-4984,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4987.jpg,NUI-4987,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4988.jpg,NUI-4988,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4990.jpg,NUI-4990,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4997.jpg,NUI-4997,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-4999.jpg,NUI-4999,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5001.jpg,NUI-5001,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5005.jpg,NUI-5005,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5008.jpg,NUI-5008,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5010.jpg,NUI-5010,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5011.jpg,NUI-5011,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5014.jpg,NUI-5014,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5015.jpg,NUI-5015,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5016.jpg,NUI-5016,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5020.jpg,NUI-5020,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5021.jpg,NUI-5021,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5022.jpg,NUI-5022,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5024.jpg,NUI-5024,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5026.jpg,NUI-5026,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5030.jpg,NUI-5030,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5034.jpg,NUI-5034,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5037.jpg,NUI-5037,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5038.jpg,NUI-5038,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5040.jpg,NUI-5040,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5042.jpg,NUI-5042,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5044.jpg,NUI-5044,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5046.jpg,NUI-5046,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5048.jpg,NUI-5048,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5049.jpg,NUI-5049,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5050.jpg,NUI-5050,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5053.jpg,NUI-5053,morning
